label,qbin,days,n_rows,mu0_med,mu0_iqr,mu2_med,mu2_iqr,mu2_min,mu2_max
ALL,Q0.8000_0.9000,11,11,2.634979802589383e-05,2.7295634584426377e-06,0.09291071004414299,0.25016660275261615,0.04742587319111978,0.9525741268088802
ALL,Q0.9000_0.9500,3,3,1.9841665597987162e-05,2.111082757736635e-06,0.04742587319111978,0.10234088294301998,0.04742587319111978,0.2521076390771597
EX:OKX,Q0.8000_0.9000,11,11,2.634979802589383e-05,2.7295634584426377e-06,0.09291071004414299,0.25016660275261615,0.04742587319111978,0.9525741268088802
EX:OKX,Q0.9000_0.9500,3,3,1.9841665597987162e-05,2.111082757736635e-06,0.04742587319111978,0.10234088294301998,0.04742587319111978,0.2521076390771597
