label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost
EX:BINANCE,2025-05-04,Q0.8000_0.9000,2.653979716791996e-05,1.4241033082540167e-06,15545,0.05401039794154339,4.8459389529825284e-05,0.2755976136572692,1.32612821857819e-05,0.10259110756606515,True,0.0013458750984699092
EX:BINANCE,2025-05-04,Q0.9000_0.9500,1.962234966154319e-05,1.3567279495712995e-06,6908,0.07252887249402884,9.015639210415666e-05,0.06806751461648082,7.368573313128013e-05,0.23256937634403627,True,0.0005753853235681085
EX:BINANCE,2025-05-04,Q0.9500_0.9700,1.2623446718014885e-05,1.2516120248094776e-06,2560,0.05157352765043677,2.208205917690215e-06,0.9301220929884424,7.227919714516079e-06,0.8058297939209388,True,0.00021430356241228758
EX:BINANCE,2025-05-04,Q0.9700_0.9900,1.1233649288805791e-05,1.0665792058258331e-06,2461,0.06589685628316355,6.968291456843468e-05,0.09926230508820169,0.00012618355538625083,0.3992166354497396,True,0.0002067487239495802
EX:BINANCE,2025-05-04,Q0.9900_0.9975,8.164234656429685e-06,1.1246831434988903e-06,1033,0.06328848462429415,6.377435634462888e-07,0.988905241280202,2.3044771632635047e-06,0.6891136360490393,True,9.194796168293915e-05
EX:BINANCE,2025-05-05,Q0.8000_0.9000,2.551000589242469e-05,1.4534968823783184e-06,19535,0.041052793045699754,6.008426404172455e-05,0.18030687293680936,1.7073683688139957e-05,0.10721633655276251,True,0.0020903879685510115
EX:BINANCE,2025-05-05,Q0.9000_0.9500,2.065826564427786e-05,1.200939492732e-06,9077,0.06935705376119827,5.143667249953397e-05,0.24208162590256985,3.7507102844239864e-05,0.2066399287576831,True,0.0008817942440275141
EX:BINANCE,2025-05-05,Q0.9500_0.9700,1.5094333263961828e-05,1.2565474568055082e-06,3365,0.05866388873765871,3.8596144449834855e-06,0.8362957786766156,1.0248630695071371e-05,0.6536719161365344,True,0.0003522400015566219
EX:BINANCE,2025-05-05,Q0.9700_0.9900,1.3547408163859215e-05,1.022718685192461e-06,3141,0.07443746479811386,5.1345524007452213e-05,0.20744264901084014,7.65005747677739e-05,0.32800530899226554,True,0.00033620583194541215
EX:BINANCE,2025-05-05,Q0.9900_0.9975,8.867887883852546e-06,1.0868895391474405e-06,1291,0.06309995533374924,0.0001192346355471663,1.0094527010734912e-06,0.00038352673425138655,0.6219609149257188,True,0.0001342827555191924
EX:BINANCE,2025-05-07,Q0.8000_0.9000,4.0517539556070184e-05,1.4359618847436158e-05,18811,0.002033145643596246,1.1022295632192133e-05,0.9999989175343099,1.5261714023398826e-05,0.4958761328275866,True,0.1043622937365555
EX:BINANCE,2025-05-07,Q0.9000_0.9500,0.00011666991549141757,9.09540654816105e-05,9146,0.0030914682359541867,0.0004529268310234464,0.11677575186057018,0.0017102973412013798,1.072096384302544,True,0.682196676867619
EX:BINANCE,2025-05-07,Q0.9500_0.9700,1.3942963410820826e-05,1.1561182977168059e-06,3096,0.05759963352055897,8.095322110771527e-06,0.6340468891707548,2.285815777047506e-05,0.6956079527323578,True,0.0002824570592270178
EX:BINANCE,2025-05-07,Q0.9700_0.9900,2.1344150638612083e-05,7.64391020761828e-06,3150,0.0019520112613685692,0.00021927001034540043,1.0000061536900654e-06,0.0019820254142867886,1.9951933845881495,True,0.03453246913458792
EX:BINANCE,2025-05-07,Q0.9900_0.9975,7.901206935917604e-06,1.4481049855141549e-06,1114,0.05726889708649163,6.302503704542568e-06,0.5433725457564142,2.302431153662383e-05,0.7002222234002894,True,0.00010340059823823612
EX:BINANCE,2025-05-14,Q0.8000_0.9000,2.4529112460092e-05,1.1670081793826951e-06,29893,0.03355716759782679,2.027851990642305e-05,0.5709642297637869,5.408674720378846e-06,0.09839985726774975,True,0.003582999064492063
EX:BINANCE,2025-05-14,Q0.9000_0.9500,1.8016811862676992e-05,1.0635664508251424e-06,12913,0.042136229086637944,1.6148223358178295e-05,0.5310212376595148,1.2246727667122934e-05,0.21442687497385945,True,0.0015937148402361283
EX:BINANCE,2025-05-14,Q0.9500_0.9700,1.588176861609838e-05,1.1015334219889344e-06,5899,0.055075870838771634,1.8402219988926816e-05,0.4636030725270815,3.990603677657924e-05,0.5354567110035994,True,0.0007284597329535586
EX:BINANCE,2025-05-14,Q0.9700_0.9900,1.4321569912462733e-05,7.120007966089286e-07,6727,0.07372637838750862,8.280007975509767e-05,0.11652122793500254,8.610449096897e-05,0.2281044306992546,True,0.0008318785104457196
EX:BINANCE,2025-05-14,Q0.9900_0.9975,1.084662924538212e-05,8.365300024375464e-07,2508,0.08456787095603302,0.00014520057213290567,0.0003581106342284994,0.00028700455754592923,0.38238536818308594,True,0.0002837757010290552
EX:BINANCE,2025-05-15,Q0.8000_0.9000,2.566632376518351e-05,1.357997824989857e-06,31205,0.030836430139147275,4.933178433826177e-05,0.2564284275643686,1.3045525010699394e-05,0.09922326823409472,True,0.004546937294054739
EX:BINANCE,2025-05-15,Q0.9000_0.9500,2.0284073003977257e-05,1.1020434040766583e-06,15597,0.04119116475814688,3.10284897645265e-05,0.3796234372404108,2.2386973894337698e-05,0.2044100653931411,True,0.002511688189633709
EX:BINANCE,2025-05-15,Q0.9500_0.9700,1.4784868282314193e-05,1.212357616669594e-06,7003,0.0435042675655547,0.00011217625962592828,1.4889687345907586e-06,0.00025852056194104105,0.57004794943879,True,0.0009621613399688626
EX:BINANCE,2025-05-15,Q0.9700_0.9900,1.557694436687605e-05,1.1033949772299294e-06,6107,0.06485876588961736,0.0001523812552378632,1.0631701930009322e-06,0.00017643781642917691,0.25539930200239763,True,0.0010076211074010854
EX:BINANCE,2025-05-15,Q0.9900_0.9975,1.345736650638179e-05,1.0213116891622077e-06,2380,0.10343513843337326,9.179136039347865e-06,0.5735684577050841,1.7064731040546418e-05,0.3570828682793636,True,0.00033362755822739006
EX:BINANCE,2025-05-17,Q0.8000_0.9000,3.102854805407532e-05,4.1693791205693085e-06,20212,0.014440283703489487,3.604776280462932e-05,0.4444139490367706,1.7519202342766226e-05,0.17946377452116294,True,0.009374250755108343
EX:BINANCE,2025-05-17,Q0.9000_0.9500,2.2372925427494546e-05,1.6552365718506496e-06,10609,0.033211952435928005,1.536161490737255e-05,0.6063860612794348,1.481852471520863e-05,0.27208861724038835,True,0.00259550205466867
EX:BINANCE,2025-05-17,Q0.9500_0.9700,1.735885727249896e-05,1.362112082714096e-06,3918,0.05545421611545809,9.6925790516348e-05,0.07541419110909009,0.0002492722991705114,0.6357894906988844,True,0.0005755691905086474
EX:BINANCE,2025-05-17,Q0.9700_0.9900,1.778093426318916e-05,1.319180020047994e-06,4259,0.03686673115350758,0.0001752498285372243,1.0000000176484909e-06,0.0003346045524986919,0.42011649455521727,True,0.001676883250041001
EX:BINANCE,2025-05-17,Q0.9900_0.9975,1.613487616806773e-05,2.8219711335003128e-06,1327,0.02387032866126637,0.0002165281677190087,1.0815510058703789e-06,0.0011910895604588954,1.063101254399794,True,0.0012616848518858536
EX:BINANCE,2025-05-22,Q0.8000_0.9000,1.7927997285298034e-05,1.1917055014686848e-06,29433,0.01923588788195918,1.895928840974971e-05,0.4791231840518095,6.635439524785123e-06,0.12990373423467774,True,0.0033377077662222424
EX:BINANCE,2025-05-22,Q0.9000_0.9500,1.5901730631553013e-05,1.0711166872114189e-06,16209,0.036521099553692093,2.7651282433670012e-06,0.9971134857549427,2.017441797185066e-06,0.2052106781656317,True,0.0017788808623988906
EX:BINANCE,2025-05-22,Q0.9500_0.9700,1.3731905891913678e-05,1.0588608191465147e-06,6563,0.043885998639998425,6.5966193882159215e-06,0.6808338612492214,1.4716688846761197e-05,0.5496874241512985,True,0.0007720063267503908
EX:BINANCE,2025-05-22,Q0.9700_0.9900,1.3566398719569651e-05,7.37217396874387e-07,6543,0.07287891775455568,0.00013244356952123314,1.000000901971896e-06,0.00013867593927155053,0.23158280553523408,True,0.0007131402514462081
EX:BINANCE,2025-05-22,Q0.9900_0.9975,9.200520418219383e-06,7.843839848389595e-07,2526,0.06553400513096086,2.077376515904391e-05,0.34287355974853595,4.867566702227963e-05,0.45240768995502045,True,0.00026858020686385556
EX:BINANCE,2025-05-23,Q0.8000_0.9000,2.3138199518181694e-05,9.696056080747892e-07,50462,0.028063578867368322,5.400121871607524e-05,0.18434529896333435,1.1766788927975922e-05,0.08201492589192068,True,0.006625082619284394
EX:BINANCE,2025-05-23,Q0.9000_0.9500,2.0078126460072208e-05,8.503262632079747e-07,25705,0.0475128777973276,3.2408533452472996e-05,0.3641256547658841,1.613409116422067e-05,0.1413676240194598,True,0.003464414472695478
EX:BINANCE,2025-05-23,Q0.9500_0.9700,1.757651859250465e-05,7.991661715017837e-07,10062,0.0639658783182181,9.906632602527799e-05,0.07234435795386114,0.00014844866204709417,0.37108388607525594,True,0.001293015003892472
EX:BINANCE,2025-05-23,Q0.9700_0.9900,1.4061639979563155e-05,6.123701063634615e-07,10078,0.06792321666485379,0.0001380009270595288,1.0000011998934687e-06,0.0001209975335491695,0.19343659013076225,True,0.0012877251792482738
EX:BINANCE,2025-05-23,Q0.9900_0.9975,1.1013092832750968e-05,7.592399711858939e-07,3744,0.07492019016375384,4.665377106810356e-05,0.2216530629079674,8.317712003588364e-05,0.34434353558889896,True,0.0004963087017777407
EX:COINBASE,2025-05-15,Q0.8000_0.9000,6.935718442921349e-05,4.8251159050754774e-05,1013,0.0033869466087422806,2.4506931300088807e-05,0.9999987571708027,0.00020629593646326458,3.961042252925882,True,0.005829134218696122
EX:COINBASE,2025-05-21,Q0.8000_0.9000,5.3061215735579255e-05,4.233407084514148e-05,1007,0.0017176076406958396,0.0001588527953522259,1.0000002156734532e-06,0.0017703345658535762,5.272927043640604,True,0.006856011121286099
EX:COINBASE,2025-05-22,Q0.8000_0.9000,5.050098040071529e-05,2.9249034166158544e-05,1070,0.0026244418816513404,1.8013584983287605e-05,0.9928429538355985,0.00014674935843466492,3.7955903124814947,True,0.0042640729475424514
EX:COINBASE,2025-05-23,Q0.8000_0.9000,7.303791676730072e-05,3.273941974594051e-05,1578,0.004134532950347158,0.00020934007565648208,1.9009911315885517e-06,0.001067498116454642,2.4423347859024203,True,0.008236844067934804
EX:GATE_IO,2025-05-01,Q0.8000_0.9000,5.334370565089525e-05,9.719754580378545e-06,3907,0.01368530107209398,2.7146818070360118e-05,0.8839382226436513,2.6284041392789154e-05,0.5339946743088609,True,0.0022185070619361634
EX:GATE_IO,2025-05-01,Q0.9000_0.9500,3.4962267847265805e-05,7.883899353859608e-06,2229,0.01016757517124478,0.00011875972565010209,1.0000108222809109e-06,0.0003641769506000626,1.2780200192656734,True,0.0014718886824853618
EX:GATE_IO,2025-05-02,Q0.8000_0.9000,3.704787332212909e-05,1.193719114062652e-05,3088,0.006079964628638357,9.181789033719117e-05,1.0000000000879086e-06,0.0001333157020463292,0.8413830175611402,True,0.001973019867837269
EX:GATE_IO,2025-05-02,Q0.9000_0.9500,4.137111441634713e-05,9.29839615204349e-06,2427,0.014545303129815168,6.644339033177511e-05,0.30436779874335423,0.00016431551379579237,1.0221556654203552,True,0.001568361715106511
EX:GATE_IO,2025-05-03,Q0.8000_0.9000,4.64195378487883e-05,1.3063870372762278e-05,1790,0.01344361149463591,0.00011110616247918052,1.000000000947369e-06,0.00014265710025132116,0.7571852529641411,True,0.0007822237208440277
EX:GATE_IO,2025-05-03,Q0.9000_0.9500,3.7630152224462525e-05,1.0806491322199498e-05,1411,0.018508408202620563,0.0001318067837760168,1.0262802048973505e-06,0.0003770407464970508,1.162650117232337,True,0.0006247145557794222
EX:GATE_IO,2025-05-04,Q0.8000_0.9000,4.405223791927391e-05,1.5102413141840758e-05,2398,0.008246187912472558,6.489137638852061e-05,0.27619754288528986,9.184551434041043e-05,0.818822108901319,True,0.0015364387638773893
EX:GATE_IO,2025-05-04,Q0.9000_0.9500,4.321636131619525e-05,1.2951446699545706e-05,1463,0.015079899427365318,0.0001492567891480839,1.0000000000531064e-06,0.0004939733339994197,1.361637652854341,True,0.0010204899129592103
EX:GATE_IO,2025-05-05,Q0.8000_0.9000,2.8558962551704954e-05,1.2268716723610227e-05,2974,0.00289593358444018,7.658048802518694e-05,1.0000000000001296e-06,0.0001526008561088239,1.1673110996983598,True,0.0023323351805390412
EX:GATE_IO,2025-05-05,Q0.9000_0.9500,4.9386835521715824e-05,1.197002168167823e-05,1237,0.01686823727825204,1.454563238374375e-05,0.9999989998687465,4.935037681746264e-05,1.3680912911370862,True,0.0010060789541200576
EX:GATE_IO,2025-05-06,Q0.8000_0.9000,7.312232738382813e-05,1.062675085831096e-05,3019,0.02567956958917661,0.0001220944737871509,0.20224996938752496,8.537853114371824e-05,0.4087226821194179,True,0.0016695702073223724
EX:GATE_IO,2025-05-06,Q0.9000_0.9500,5.016223383632407e-05,8.483870586140238e-06,1300,0.02942118647460923,1.472639834976281e-05,0.9978047553450335,3.8196440238245786e-05,1.0398598019418086,True,0.0006277417960391669
EX:GATE_IO,2025-05-07,Q0.8000_0.9000,5.203635367822618e-05,1.0258494917216536e-05,3580,0.015421205706613095,0.00010462694978891685,0.10042480089038969,9.041310179348917e-05,0.5010981395022966,True,0.0017365626621080581
EX:GATE_IO,2025-05-07,Q0.9000_0.9500,4.5234375015585555e-05,9.473683545242693e-06,1594,0.024130131996482507,0.00015724518183060716,1.000000316646465e-06,0.00040621329571377594,1.0486154314661984,True,0.000779444898464728
EX:GATE_IO,2025-05-07,Q0.9500_0.9700,3.8275772721922536e-05,7.91106963684047e-06,1084,0.034132829266445786,9.616111863217624e-06,0.9760285784345056,4.1315036168493236e-05,1.4705813970934973,True,0.0004092278257421934
EX:GATE_IO,2025-05-08,Q0.8000_0.9000,4.5680583264404775e-05,6.855744411252807e-06,7724,0.011302765304836981,0.00010923264017457549,2.7280101901237743e-06,7.508021253079877e-05,0.40156946118433234,True,0.003959442201663884
EX:GATE_IO,2025-05-08,Q0.9000_0.9500,4.6485854279510595e-05,6.992249814767602e-06,3436,0.022113074861590754,1.3691966521791553e-05,0.9999989898453309,2.422865471341337e-05,0.713318859845151,True,0.0018798553932714871
EX:GATE_IO,2025-05-08,Q0.9500_0.9700,3.662913183236664e-05,7.0140963296856e-06,1895,0.0245106364267057,1.1411617221808365e-05,0.9010860317065654,4.217168194621505e-05,1.2665432333263833,True,0.0009180828440331878
EX:GATE_IO,2025-05-08,Q0.9700_0.9900,2.6525670942069248e-05,5.929739299941164e-06,1752,0.021278532062319888,4.849028306404226e-06,0.9911567032108594,1.4514363575540675e-05,0.8556413327892243,True,0.0008843050405560613
