label,date,qbin,mu0,mu0_se_hac,n,r2,mu1,mu2,mu1_se,mu2_se,success,cost
EX:SYNX,2024-01-01,Q0.8000_0.9000,2.168186420564758e-06,2.1286108957458152e-08,1592,0.061007125126893325,2.4628920989915695e-05,3.4055551102712854e-05,0.0003177903406698519,2.6682765193918874,True,7.2455195326540835e-06
EX:SYNY,2024-01-01,Q0.8000_0.9000,4.37051322171027e-06,2.7345106619719114e-08,1592,0.24985395500546914,2.6067481870360775e-05,0.1314499956639033,0.00015188987391127147,1.2028859392719942,True,5.796725418921348e-06
ALL,2024-01-01,Q0.8000_0.9000,1.4569847826713387e-06,1.991869189460502e-09,2985,0.11106861967175952,1.0057564834418751e-05,0.1020341438398723,7.382617464233085e-05,1.5153627429296332,True,3.2202532314671634e-06
ALL,2024-01-01,Q0.9000_0.9500,1.0408581057340593e-06,1.0095748118931288e-08,1592,0.061818760950653306,8.327680642433945e-06,0.08290361629398142,0.00023689977571323269,5.76929308777898,True,1.8115922573503327e-06
