horizon,MSE_Analyst,MSE_RF,MSE_NN,NN_minus_RF,RF_minus_Analyst,NN_minus_Analyst
q1,NA,NA,NA,NA,NA,NA
q2,NA,NA,NA,NA,NA,NA
q3,NA,NA,NA,NA,NA,NA
y1,NA,NA,NA,NA,NA,NA
y2,NA,NA,NA,NA,NA,NA
