ccy,weeks_traded,active_frac,spread_mean,spread_p5,spread_p50,spread_p95
BRL,4,1.0,0.05447544818577295,0.05081342142240035,0.05353678769486473,0.05945159963641706
NGN,4,1.0,0.11602258707466184,0.10696262275292463,0.11681788645445895,0.12396913226468309
PKR,4,1.0,0.11808869818577294,0.10494628941959128,0.11828368192366366,0.13095812971890758
TRY,4,1.0,0.1968720315191063,0.13859146305224093,0.19938368192366368,0.25163628941959126
ZAR,4,1.0,0.07679369818577295,0.06808028941959131,0.07693868192366367,0.0853041297189076
PORTFOLIO,20,,,,5.0,
