ccy,mean_weekly,vol_weekly,sharpe_weekly,max_drawdown,active_weeks
BRL,-0.004405934415091127,0.1195961230882318,-0.036840110710283286,-0.9942923666517096,365
ZAR,-0.003717602298951464,0.08482906696066347,-0.043824627950645414,-0.9798745305157718,365
NGN,-0.011379874890479707,0.19991114900027607,-0.05692466351871146,-1.1460105436073993,365
PKR,-0.02325401548887094,0.1158167628452289,-0.20078281345116092,-0.9999891790198999,345
TRY,-0.04241392955726944,0.2110139864101478,-0.20100056057340912,-1.0004141335267676,365
