ccy_removed,ann_sharpe_drop_one,max_dd_drop_one,delta_sharpe,delta_dd
ZAR,-0.15371968970204403,-0.5599555429581641,-0.1265664686182804,-0.09895414823535142
BRL,-0.08738285995633792,-0.46100139472281265,-0.060229638872574286,0.0
PKR,-0.06104407012603685,-0.47027736126652675,-0.03389084904227322,-0.009275966543714098
NGN,-0.03364614377757495,-0.526476079395991,-0.006492922693811319,-0.0654746846731783
TRY,0.2756212257292315,-0.37473708295444597,0.3027744468129951,0.08626431176836669
