ccy,BRL,NGN,PKR,TRY,ZAR
BRL,1.0,0.02697267584551232,0.07123231341155407,0.1053949622499956,0.39186662412825307
NGN,0.02697267584551232,1.0,0.18833309355214903,0.07694775794555812,0.08417736677949302
PKR,0.07123231341155407,0.18833309355214903,1.0,0.07741641010940614,0.1069318259577997
TRY,0.1053949622499956,0.07694775794555812,0.07741641010940614,1.0,0.05957271320914845
ZAR,0.39186662412825307,0.08417736677949302,0.1069318259577997,0.05957271320914845,1.0
