date,rmse_boxcar,rmse_ew,gap_ew_minus_boxcar
2020-03-25,0.6079552729674664,0.6979658589642679,0.09001058599680145
2020-04-01,0.436776619353861,0.47150486355071153,0.034728244196850555
2020-04-08,0.15824749853649386,0.178788179533478,0.02054068099698414
2025-07-30,0.044289948466578084,0.0368405002861486,-0.007449448180429481
2025-08-06,0.044477040772007655,0.03767353259274218,-0.006803508179265477
2020-03-18,0.42100991565298207,0.4277145006305614,0.006704584977579309
2022-02-02,0.059397608362826204,0.05312854515960216,-0.006269063203224047
2020-11-18,0.05887041226852266,0.06430115460288191,0.005430742334359251
2020-09-16,0.06494097718721147,0.05977114212592583,-0.005169835061285634
2025-02-19,0.03143886023402824,0.02694354031826136,-0.00449531991576688
