ccy,mean_ret,marg_var_contrib,marg_var_share,total_pnl_usd
TRY,-0.007845076443457895,0.0010024255913976524,0.5026979274126852,-6116738.924615256
BRL,-0.00019759865593876197,0.0007185129038717174,0.3603209561838688,-144247.01883529592
NGN,0.0019886623551576325,0.00022562015548590423,0.11314434260118536,1451723.5192650715
PKR,-0.003122275812555943,4.753270457812553e-05,0.023836773802260607,-2279261.343165838
ZAR,0.0,0.0,0.0,0.0
