date,tenor_y,rate
2009-01-02,5.0,0.012797241573192748
2009-01-05,5.0,0.012046013057507661
2009-01-06,5.0,0.011737598271983209
2009-01-07,5.0,0.011134373466574159
2009-01-08,5.0,0.010908208166372824
2009-01-09,5.0,0.011005284710533143
2009-01-12,5.0,0.011579151623440444
2009-01-13,5.0,0.01130125432300124
2009-01-14,5.0,0.011287532419094772
2009-01-15,5.0,0.01125153075110221
2009-01-16,5.0,0.011504007385387389
2009-01-19,5.0,0.011631000237789638
2009-01-20,5.0,0.011038786512109367
2009-01-21,5.0,0.010628183597693283
2009-01-22,5.0,0.01003169979065767
2009-01-23,5.0,0.010042835222801314
2009-01-26,5.0,0.009222724389195192
2009-01-27,5.0,0.009267022191812888
2009-01-28,5.0,0.009110683492831236
2009-01-29,5.0,0.009141408502828368
2009-01-30,5.0,0.009080408275990144
2009-02-02,5.0,0.008540615938567291
2009-02-03,5.0,0.008566703340935318
2009-02-04,5.0,0.00868142482521361
2009-02-05,5.0,0.008019502810065717
2009-02-06,5.0,0.008040440236969084
2009-02-09,5.0,0.007874015975419863
2009-02-10,5.0,0.007962825836329332
2009-02-11,5.0,0.0071494944537826965
2009-02-12,5.0,0.007132602283573407
2009-02-13,5.0,0.006900063068451184
2009-02-16,5.0,0.006642855416170673
2009-02-17,5.0,0.006655962712878615
2009-02-18,5.0,0.006940753349985534
2009-02-19,5.0,0.006672655334627047
2009-02-20,5.0,0.006731379279190728
2009-02-23,5.0,0.006308126561480554
2009-02-24,5.0,0.005517290391927791
2009-02-25,5.0,0.00520600294480616
2009-02-26,5.0,0.004998824024247106
2009-02-27,5.0,0.004758965384079823
2009-03-02,5.0,0.004433796986697782
2009-03-03,5.0,0.0042026023198452065
2009-03-04,5.0,0.004264666375106076
2009-03-05,5.0,0.004738266513491071
2009-03-06,5.0,0.005089865783605169
2009-03-09,5.0,0.0049201950978736315
2009-03-10,5.0,0.004901504473248458
2009-03-11,5.0,0.004852582605358004
2009-03-12,5.0,0.004453326408781656
2009-03-13,5.0,0.004646749635966167
2009-03-16,5.0,0.004575319616662575
2009-03-17,5.0,0.004422230544877603
2009-03-18,5.0,0.004330510008590843
2009-03-19,5.0,0.0043250532742153255
2009-03-20,5.0,0.004257337562790706
