,BRL,NGN,PKR,TRY,ZAR
BRL,1.0,0.4421608617890088,-0.26104167788547256,0.14152324931107363,
NGN,0.4421608617890089,0.9999999999999998,,0.33324575771582843,
PKR,-0.26104167788547256,,0.9999999999999999,,
TRY,0.14152324931107363,0.3332457577158284,,0.9999999999999999,
ZAR,,,,,
