date0,date1,n_ccy_available,n_ccy_active,port_ret,active_positions,wealth,drawdown,port_ret_equity_fixed,wealth_equity_fixed,drawdown_equity_fixed
2019-01-02,2019-01-09,2,1,-0.013051752587709575,1,0.9869482474122904,0.0,0.0,1.0,0.0
2019-01-09,2019-01-16,3,3,-0.000174545550271403,3,0.9867759799873563,-0.00017454555027140994,-0.01115222887839647,0.9888477711216035,-0.011152228878396508
2019-01-16,2019-01-23,3,3,-0.0624352409885518,3,0.9251663838751314,-0.0625988887453286,-0.019232399589177315,0.9698298556545254,-0.030170144345474603
2019-01-23,2019-01-30,3,3,0.058281196879642554,3,0.979086188040185,-0.007966030025099213,0.01791357924283212,0.9872029796258572,-0.012797020374142765
2019-01-30,2019-02-06,3,3,0.11474336920751553,3,1.0914298360004588,0.0,0.027486573106855806,1.0143378064966493,0.0
2019-02-06,2019-02-13,3,3,-0.021326472841919863,3,1.068153487244134,-0.021326472841919797,-0.00816116083526751,1.0060596325165376,-0.008161160835267522
2019-02-13,2019-02-20,3,3,-0.08098943943078102,3,0.9816443350861976,-0.1005886931921981,-0.011453623277280108,0.9945366044912144,-0.019521309250835173
2019-02-20,2019-02-27,3,3,-0.02369524360354105,3,0.9583840334342941,-0.12190046320678816,-0.017139679263221567,0.9774905660747015,-0.036326399534699294
2019-02-27,2019-03-06,3,3,-0.017226093275117534,3,0.9418748206809716,-0.13702668773242543,-0.003338402118166815,0.9742273094984296,-0.039543529523714094
2019-03-06,2019-03-13,3,3,0.0077859235078847665,3,0.9492081859887963,-0.13030764353376423,0.00601245694413241,0.9800848092505869,-0.03376882634826206
2019-03-13,2019-03-20,3,2,-0.02647959475535434,2,0.924073537885348,-0.15333674469481928,-0.010591837902141736,0.9697039098206532,-0.04400299031557742
2019-03-20,2019-03-27,2,2,-0.06617881472100784,2,0.8629194464330473,-0.20936791539874622,-0.026471525888403135,0.9440343676677501,-0.06930968990667452
2019-03-27,2019-04-03,2,2,0.0693633464030535,2,0.9227744269139139,-0.15452702823718123,0.0277453385612214,0.9702269208121204,-0.0434873721574871
2019-04-03,2019-04-10,3,3,0.031070359572023615,3,0.9514453601619972,-0.1282578789960831,0.018642215743214167,0.9883141003897743,-0.025655857388138248
