ccy,weeks_traded,active_frac,spread_mean,spread_p5,spread_p50,spread_p95
BRL,364,0.9972602739726028,0.07639694878275576,0.048518158794170534,0.07032363168901984,0.10918270069960984
NGN,48,0.13150684931506848,0.1295576006101324,0.08793960117864859,0.1366187108030134,0.16423761488442065
PKR,52,0.14246575342465753,0.10783574324032659,0.09106296143439664,0.10093377376377903,0.1592137572566406
TRY,336,0.9205479452054794,0.18866348659777957,0.06295212263693373,0.18489624987087735,0.30251631096697196
ZAR,364,0.9972602739726028,0.07177477814783512,0.04243515772087307,0.07183124941994182,0.09375910862274102
PORTFOLIO,1164,,,,3.1890410958904107,
