model,factor,alpha,beta,t_beta_hac4,r2,n
univariate,usd_proxy,0.001386238298770902,-0.46607296374482315,-0.9627312963995627,0.0025679761566347326,362
univariate,em_fx_basket,0.0015094272583855114,0.005908484401737226,0.012533875847494725,4.363832644127541e-07,362
univariate,rates_proxy_on,0.0014472400850606367,0.562054632572222,0.08172095799637184,1.8550530804462007e-05,362
univariate,rates_proxy_5y,0.00012020759836839185,16.894062945059776,2.515611928255516,0.01727495068031315,362
multivariate,const,-0.0005014536654597711,-0.0005014536654597711,,0.02534966533425309,362
multivariate,usd_proxy,-0.0005014536654597711,-0.8731128839654771,,0.02534966533425309,362
multivariate,em_fx_basket,-0.0005014536654597711,-0.06166302426652316,,0.02534966533425309,362
multivariate,rates_proxy_5y,-0.0005014536654597711,20.09057330454573,,0.02534966533425309,362
