ccy,weeks_total,weeks_available,weeks_traded,active_frac_cond_avail,mean_ret_equity_active,vol_ret_equity_active,sharpe_ann_active,mean_ret_equity_fixed,vol_ret_equity_fixed,sharpe_ann_fixed,pnl_total_usd,max_dd_fixed
NGN,365,17,17,1.0,0.04269775056661976,0.295221627172426,1.0429380156827355,0.0019886623551576325,0.0643449165847286,0.22286839339248063,1451723.5192650715,-0.7544656439073747
BRL,365,363,363,1.0,-0.00019868735376762657,0.12493580982200951,-0.011467928095491946,-0.00019759865593876197,0.12459305061609029,-0.01143646587714203,-144247.01883529592,-0.9880942117850076
TRY,365,250,250,1.0,-0.011453811607448528,0.17926830697307633,-0.4607318019281856,-0.007845076443457895,0.148458886097937,-0.3810593777210776,-6116738.924615256,-0.9999999997172448
PKR,365,15,15,1.0,-0.07597537810552794,0.17531063711803105,-3.125116945959357,-0.003122275812555943,0.03860700916538169,-0.5831855811512016,-2279261.343165838,-0.8418484334122486
ZAR,365,0,0,,,,,0.0,0.0,,0.0,0.0
